track,method,status,recordings,avg_speaker_error,avg_runtime_sec,avg_cost_usd,quality_score,speed_score,price_score,aggregate_score,ja_en_rating,en_ja_rating,item_level_overall,decision,notes
diarization,Soniox realtime,baseline,3,3.67,,0.010,,,,,,,,Keep live baseline,"Saved realtime rows; app has since moved to stt-rt-v4, so rerun before future realtime decision."
diarization,Soniox async,integrated,3,2.33,26.843,0.008,100.0,81.8,58.3,80.0,,,,Integrated as the speaker step inside Improve transcript,"Best aggregate and best speaker-count proxy; still needs human audit/DER."
diarization,ElevenLabs,not_integrated,3,2.67,9.440,0.018,85.5,100.0,8.3,64.6,,,,Not integrated,"Good batch challenger, fastest measured vendor, higher cost and not runtime-integrated."
diarization,Speechmatics,not_integrated,3,3.33,20.875,0.019,57.3,88.0,0.0,48.4,,,,Not integrated,"Batch diarization tested; weaker aggregate than Soniox async and ElevenLabs."
diarization,HappyScribe,not_integrated,3,3.67,105.009,0.000,42.7,0.0,100.0,47.6,,,,Not integrated,"API-reported zero cost likely account/trial behavior; slowest measured vendor."
diarization,AssemblyAI,not_integrated,3,4.67,26.339,0.014,0.0,82.3,29.2,37.2,,,,Not integrated,"Worst speaker-count proxy among tested APIs."
diarization,Pyannote unknown N,not_integrated,2,3.50,89.927,0.002,,,,,,,,Not integrated,"No short-fixture lift; long fixture blocked."
diarization,Pyannote known N,not_integrated,2,3.50,4.374,0.002,,,,,,,,Not integrated,"Known speaker count did not force six clusters."
translation,Soniox inline,baseline,,,,,,,,2.98,4.00,4.60,Keep live baseline,"Already returned by Soniox realtime stream; fastest live path."
translation,DeepL,not_integrated,,,,,,,,2.97,4.17,4.00,Not integrated,"No decisive measured lift."
translation,GPT-4o direct,not_integrated,,,,,,,,3.17,4.25,4.53,Not integrated,"Revision path screened better."
translation,GPT-4o revision,integrated,,,,,,,,3.40,4.33,4.65,Integrated as the translation step inside Improve transcript,"Best simple post-recording candidate; item-level lift too small to replace live translation."
translation,GPT-4o context revision,not_integrated,,,,,,,,3.37,4.33,4.65,Not integrated,"No clear aggregate win over simpler GPT-4o revision."
translation,GPT-4o dialogue revision,not_integrated,,,,,,,,3.33,4.25,4.61,Not integrated,"No clear aggregate win over simpler GPT-4o revision."
